DFM,AL4_P,TM-score,TM-align,Z-score,AL0_P,QCS,Handed.,SS
0.08,85.0,0.883,0.894,12.56,73.26,97.53,0.94,0.677
0.04,98.2,0.926,0.93,8.25,95.5,97.14,0.95,0.699
0.03,100.0,0.803,0.803,6.1,91.67,86.04,0.93,0.44
0.13,58.82,0.575,0.579,4.71,55.88,81.09,0.97,0.626
0.41,49.09,0.44,0.438,1.68,23.64,62.54,0.86,0.485
0.23,41.82,0.395,0.393,0.81,36.36,54.87,0.9,0.424
0.34,44.71,0.418,0.438,3.2,38.82,54.62,0.9,0.523
0.23,51.82,0.475,0.485,1.89,40.0,62.11,0.91,0.425
0.05,97.01,0.889,0.889,9.7,88.62,95.38,0.96,0.65
0.29,74.36,0.606,0.647,4.72,45.3,71.18,0.86,0.292
0.06,95.73,0.953,0.953,8.16,94.02,97.89,0.97,0.701
0.08,84.57,0.889,0.899,12.9,73.48,97.42,0.94,0.677
0.04,98.2,0.917,0.92,8.25,95.5,96.99,0.95,0.687
0.05,96.83,0.972,0.972,10.91,95.93,99.0,0.97,0.792
0.28,33.64,0.311,0.379,0.37,24.55,54.85,0.75,0.358
0.15,96.58,0.823,0.826,8.37,87.18,90.93,0.93,0.539
0.16,96.58,0.843,0.849,8.16,85.47,91.42,0.93,0.525
0.04,98.2,0.93,0.934,8.25,95.5,97.25,0.96,0.678
0.23,88.24,0.863,0.859,9.86,85.97,93.86,0.9,0.428
0.64,46.47,0.435,0.437,3.2,43.53,51.35,0.91,0.53
0.01,98.8,0.944,0.944,10.18,98.2,98.48,0.98,0.753
1.54,40.59,0.377,0.375,2.02,32.35,38.91,0.88,0.371
0.08,71.86,0.69,0.722,6.41,55.69,90.82,0.91,0.617
0.03,91.67,0.656,0.66,5.59,71.67,88.86,0.96,0.487
0.15,89.78,0.882,0.888,13.1,69.35,96.46,0.93,0.628
0.04,78.33,0.616,0.624,4.4,68.33,88.75,0.93,0.537
0.13,97.44,0.836,0.835,8.37,87.18,91.95,0.94,0.567
0.08,82.39,0.873,0.889,12.22,73.48,98.43,0.94,0.693
0.04,98.2,0.943,0.946,8.25,95.5,97.86,0.96,0.68
0.36,66.36,0.551,0.55,4.29,56.36,73.6,0.84,0.507
0.04,100.0,0.704,0.704,6.1,86.67,89.4,0.94,0.455
0.15,70.91,0.585,0.583,5.16,61.82,76.04,0.92,0.491
0.62,44.71,0.442,0.463,2.81,40.59,55.32,0.92,0.527
